date,civ_kill,total_aid_month
Feb-22,375,54000000
Mar-22,4168,10962011270
Apr-22,823,10433803533
May-22,550,8447347245
Jun-22,429,1725463042
Jul-22,386,687578315
Aug-22,340,1695680676
Sep-22,408,12236822491
Oct-22,310,143025252
Nov-22,188,18500000
Dec-22,206,38949300000
Jan-23,201,335773390
Feb-23,144,0
Mar-23,181,0
Apr-23,182,0
May-23,174,196460000
Jun-23,186,0
Jul-23,161,0
